20 :2021-08-17 10:32:48,622 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:32:48,696 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:32:48,771 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:48:32,458 : INFO : logger : File opened successfully
20 :2021-08-17 10:48:32,491 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 10:48:32,505 : INFO : logger : False lock successfully
20 :2021-08-17 10:48:32,514 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 10:48:32,522 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:48:32,523 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:48:32,663 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:48:32,664 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:48:32,665 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:48:32,867 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:48:32,934 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:48:33,064 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:48:33,196 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:48:33,197 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:49:04,290 : INFO : logger : File opened successfully
20 :2021-08-17 10:49:04,315 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 10:49:04,329 : INFO : logger : False lock successfully
20 :2021-08-17 10:49:04,338 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 10:49:04,343 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:49:04,344 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:49:04,487 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:49:04,487 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:49:04,488 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:49:04,688 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:49:04,753 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:49:04,884 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:49:05,015 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:49:05,016 : INFO : logger : frame's name get successfully
20 :2021-08-17 23:13:45,301 : INFO : logger : File opened successfully
